word,sentiment
abundance,anticipation
accelerate,anticipation
accolade,anticipation
accompaniment,anticipation
achievement,anticipation
acquiring,anticipation
addresses,anticipation
adore,anticipation
adrift,anticipation
advance,anticipation
advent,anticipation
adventure,anticipation
advocacy,anticipation
airport,anticipation
alertness,anticipation
alerts,anticipation
alive,anticipation
allure,anticipation
aloha,anticipation
ambition,anticipation
amour,anticipation
analyst,anticipation
angel,anticipation
angling,anticipation
announcement,anticipation
anticipation,anticipation
anticipatory,anticipation
antidote,anticipation
anxiety,anticipation
anxious,anticipation
appeal,anticipation
applicant,anticipation
apprehensive,anticipation
approaching,anticipation
arbitration,anticipation
archaeology,anticipation
ardent,anticipation
arouse,anticipation
arrival,anticipation
arrive,anticipation
art,anticipation
aspiration,anticipation
aspire,anticipation
aspiring,anticipation
astrologer,anticipation
astronomer,anticipation
atone,anticipation
attainable,anticipation
attempt,anticipation
attendance,anticipation
auction,anticipation
audience,anticipation
auspicious,anticipation
await,anticipation
award,anticipation
ballot,anticipation
balm,anticipation
banger,anticipation
banquet,anticipation
basketball,anticipation
beaming,anticipation
begun,anticipation
betrothed,anticipation
beware,anticipation
biennial,anticipation
birth,anticipation
birthday,anticipation
bless,anticipation
blessing,anticipation
blessings,anticipation
blindfold,anticipation
bloom,anticipation
board,anticipation
boisterous,anticipation
bonus,anticipation
boomerang,anticipation
bountiful,anticipation
bounty,anticipation
bridal,anticipation
bride,anticipation
bridegroom,anticipation
brilliant,anticipation
broadside,anticipation
brotherly,anticipation
bruise,anticipation
buddy,anticipation
bugle,anticipation
buzz,anticipation
bye,anticipation
calculation,anticipation
calls,anticipation
candid,anticipation
cap,anticipation
captivate,anticipation
career,anticipation
cash,anticipation
cataract,anticipation
caution,anticipation
cautious,anticipation
celebrated,anticipation
celebrating,anticipation
celebration,anticipation
celebrity,anticipation
celestial,anticipation
cement,anticipation
champion,anticipation
changeable,anticipation
chant,anticipation
charitable,anticipation
chastity,anticipation
cheer,anticipation
cheerfulness,anticipation
cheery,anticipation
cherish,anticipation
chicane,anticipation
child,anticipation
chocolate,anticipation
chuckle,anticipation
church,anticipation
clamor,anticipation
clap,anticipation
climax,anticipation
clock,anticipation
closure,anticipation
clown,anticipation
clue,anticipation
comfort,anticipation
coming,anticipation
commemorate,anticipation
commemoration,anticipation
commemorative,anticipation
commonplace,anticipation
compensate,anticipation
competition,anticipation
complement,anticipation
completing,anticipation
completion,anticipation
compliment,anticipation
concealed,anticipation
concealment,anticipation
condemnation,anticipation
confession,anticipation
conjecture,anticipation
conjure,anticipation
consecration,anticipation
consequent,anticipation
conservation,anticipation
conspirator,anticipation
contagion,anticipation
contingent,anticipation
continuation,anticipation
continue,anticipation
convergence,anticipation
convince,anticipation
correspondence,anticipation
council,anticipation
countdown,anticipation
court,anticipation
courtship,anticipation
cove,anticipation
cradle,anticipation
cramp,anticipation
craps,anticipation
crave,anticipation
craving,anticipation
cream,anticipation
creeping,anticipation
crescendo,anticipation
crowning,anticipation
cue,anticipation
cultivate,anticipation
curiosity,anticipation
daily,anticipation
dare,anticipation
dawn,anticipation
deal,anticipation
death,anticipation
debenture,anticipation
defense,anticipation
delight,anticipation
delighted,anticipation
delightful,anticipation
deliverance,anticipation
delivery,anticipation
denying,anticipation
depart,anticipation
depend,anticipation
depraved,anticipation
deserve,anticipation
destination,anticipation
destined,anticipation
detainee,anticipation
determinate,anticipation
develop,anticipation
devil,anticipation
devout,anticipation
diagnosis,anticipation
dictatorship,anticipation
dietary,anticipation
digress,anticipation
diplomacy,anticipation
discreet,anticipation
discretion,anticipation
dismay,anticipation
disposed,anticipation
distracting,anticipation
divination,anticipation
doomsday,anticipation
dove,anticipation
draft,anticipation
dread,anticipation
dreadful,anticipation
duel,anticipation
dutiful,anticipation
eager,anticipation
eagerness,anticipation
ecstasy,anticipation
ecstatic,anticipation
edification,anticipation
edition,anticipation
efficient,anticipation
ejaculation,anticipation
elegance,anticipation
elevation,anticipation
elite,anticipation
emancipation,anticipation
embrace,anticipation
enchant,anticipation
enchanting,anticipation
endanger,anticipation
endeavor,anticipation
engaged,anticipation
engulf,anticipation
enjoy,anticipation
enjoying,anticipation
enroll,anticipation
entertaining,anticipation
entertainment,anticipation
enthusiasm,anticipation
enthusiast,anticipation
epidemic,anticipation
erotic,anticipation
errand,anticipation
escape,anticipation
eventual,anticipation
eventuality,anticipation
exalt,anticipation
excavation,anticipation
exceed,anticipation
excel,anticipation
excitation,anticipation
excite,anticipation
excited,anticipation
excitement,anticipation
exciting,anticipation
exhaustion,anticipation
exigent,anticipation
expect,anticipation
expectancy,anticipation
expectant,anticipation
expectation,anticipation
expected,anticipation
expecting,anticipation
expedition,anticipation
experiment,anticipation
explore,anticipation
explosive,anticipation
expose,anticipation
extricate,anticipation
failing,anticipation
fain,anticipation
faith,anticipation
familiarity,anticipation
fancy,anticipation
fanfare,anticipation
farm,anticipation
fate,anticipation
favorable,anticipation
feat,anticipation
feeling,anticipation
ferment,anticipation
fermentation,anticipation
festival,anticipation
fete,anticipation
fiesta,anticipation
finally,anticipation
firstborn,anticipation
fitting,anticipation
flinch,anticipation
flirt,anticipation
football,anticipation
forearm,anticipation
foreboding,anticipation
forecast,anticipation
foresee,anticipation
foreseen,anticipation
foresight,anticipation
forewarned,anticipation
forming,anticipation
fortune,anticipation
frantic,anticipation
friendly,anticipation
frisky,anticipation
fulfillment,anticipation
fun,anticipation
gain,anticipation
gambler,anticipation
gambling,anticipation
generosity,anticipation
germ,anticipation
germination,anticipation
gift,anticipation
glad,anticipation
glide,anticipation
glimmer,anticipation
glorify,anticipation
glory,anticipation
glow,anticipation
god,anticipation
good,anticipation
goodness,anticipation
gradual,anticipation
graduation,anticipation
grandchildren,anticipation
grant,anticipation
grasping,anticipation
gravitate,anticipation
grim,anticipation
grin,anticipation
grow,anticipation
guillotine,anticipation
habitual,anticipation
hankering,anticipation
hap,anticipation
happen,anticipation
happiness,anticipation
happy,anticipation
harbinger,anticipation
harvest,anticipation
haste,anticipation
headlight,anticipation
healing,anticipation
heavenly,anticipation
heft,anticipation
hero,anticipation
heroism,anticipation
heyday,anticipation
highest,anticipation
hire,anticipation
holiday,anticipation
holiness,anticipation
homeless,anticipation
honeymoon,anticipation
hope,anticipation
hopeful,anticipation
horizon,anticipation
horoscope,anticipation
humanitarian,anticipation
hungry,anticipation
hunter,anticipation
hunting,anticipation
hurried,anticipation
hurry,anticipation
hymn,anticipation
hype,anticipation
hypothesis,anticipation
illuminate,anticipation
immature,anticipation
immaturity,anticipation
immediately,anticipation
immerse,anticipation
imminent,anticipation
immortality,anticipation
impatient,anticipation
impending,anticipation
importance,anticipation
improve,anticipation
improvise,anticipation
inaugural,anticipation
inauguration,anticipation
incite,anticipation
income,anticipation
independence,anticipation
infant,anticipation
infanticide,anticipation
infinity,anticipation
inheritance,anticipation
inoculation,anticipation
inquiry,anticipation
inspiration,anticipation
inspire,anticipation
install,anticipation
instructions,anticipation
instructor,anticipation
intended,anticipation
interim,anticipation
interminable,anticipation
intermission,anticipation
intimate,anticipation
intimately,anticipation
intrigue,anticipation
intuitively,anticipation
investigation,anticipation
invitation,anticipation
invite,anticipation
inviting,anticipation
invocation,anticipation
invoke,anticipation
jackpot,anticipation
jeopardy,anticipation
journey,anticipation
judicial,anticipation
judiciary,anticipation
kindred,anticipation
kiss,anticipation
labor,anticipation
labyrinth,anticipation
lagging,anticipation
latent,anticipation
laughter,anticipation
launch,anticipation
leisure,anticipation
lessen,anticipation
lesson,anticipation
letter,anticipation
lettered,anticipation
liberate,anticipation
liberation,anticipation
liberty,anticipation
linger,anticipation
litigate,anticipation
localize,anticipation
long,anticipation
longing,anticipation
loom,anticipation
lottery,anticipation
lovely,anticipation
lover,anticipation
luck,anticipation
lull,anticipation
luscious,anticipation
lust,anticipation
magical,anticipation
magnificence,anticipation
magnificent,anticipation
mail,anticipation
majestic,anticipation
marriage,anticipation
marry,anticipation
matchmaker,anticipation
maternal,anticipation
matrimony,anticipation
medal,anticipation
mediate,anticipation
mediator,anticipation
medical,anticipation
meditate,anticipation
merge,anticipation
midwife,anticipation
mill,anticipation
miracle,anticipation
mobile,anticipation
momentum,anticipation
monetary,anticipation
money,anticipation
morals,anticipation
morn,anticipation
morrow,anticipation
mortification,anticipation
mother,anticipation
motion,anticipation
mountain,anticipation
musical,anticipation
mutable,anticipation
mysterious,anticipation
mystery,anticipation
nascent,anticipation
navigable,anticipation
navigator,anticipation
neighbor,anticipation
neighborhood,anticipation
nervous,anticipation
network,anticipation
neutral,anticipation
nobility,anticipation
noncompliance,anticipation
notification,anticipation
nurture,anticipation
oasis,anticipation
objective,anticipation
obliging,anticipation
offset,anticipation
olfactory,anticipation
omen,anticipation
ominous,anticipation
ongoing,anticipation
onset,anticipation
opera,anticipation
opponent,anticipation
opportunity,anticipation
optimism,anticipation
oracle,anticipation
ordination,anticipation
organ,anticipation
organization,anticipation
orgasm,anticipation
outdo,anticipation
overdue,anticipation
overthrow,anticipation
overture,anticipation
owing,anticipation
paddle,anticipation
parade,anticipation
paragon,anticipation
paralysis,anticipation
pare,anticipation
parole,anticipation
passenger,anticipation
passion,anticipation
passionate,anticipation
patience,anticipation
patient,anticipation
pay,anticipation
peace,anticipation
peaceful,anticipation
perfect,anticipation
perfection,anticipation
peril,anticipation
perilous,anticipation
perpetuate,anticipation
perpetuity,anticipation
picket,anticipation
picnic,anticipation
plan,anticipation
planning,anticipation
playground,anticipation
plea,anticipation
pleasant,anticipation
plight,anticipation
plump,anticipation
poke,anticipation
possess,anticipation
possibility,anticipation
powerful,anticipation
practise,anticipation
praiseworthy,anticipation
pray,anticipation
precarious,anticipation
precious,anticipation
precursor,anticipation
predict,anticipation
prediction,anticipation
predilection,anticipation
predispose,anticipation
preliminary,anticipation
preparation,anticipation
preparatory,anticipation
prepare,anticipation
prepared,anticipation
preparedness,anticipation
prerequisite,anticipation
prescient,anticipation
present,anticipation
preservative,anticipation
pretty,anticipation
prevail,anticipation
prevention,anticipation
priesthood,anticipation
princely,anticipation
probability,anticipation
probation,anticipation
proceeding,anticipation
production,anticipation
proficiency,anticipation
prognosis,anticipation
prognostic,anticipation
progress,anticipation
progression,anticipation
prologue,anticipation
prophecy,anticipation
prophet,anticipation
prophetic,anticipation
prophylactic,anticipation
prospectively,anticipation
prosper,anticipation
proud,anticipation
providing,anticipation
pry,anticipation
public,anticipation
punctual,anticipation
punished,anticipation
punt,anticipation
puppy,anticipation
quest,anticipation
quicken,anticipation
quote,anticipation
rabid,anticipation
radiance,anticipation
raffle,anticipation
rail,anticipation
ram,anticipation
rapture,anticipation
