word,sentiment
aberration,disgust
abhor,disgust
abhorrent,disgust
abject,disgust
abnormal,disgust
abominable,disgust
abomination,disgust
abortion,disgust
abundance,disgust
abuse,disgust
accusation,disgust
actionable,disgust
adder,disgust
adultery,disgust
adverse,disgust
affliction,disgust
affront,disgust
aftermath,disgust
aggravation,disgust
aghast,disgust
airs,disgust
alcoholism,disgust
alien,disgust
alienate,disgust
alienation,disgust
ammonia,disgust
amphetamines,disgust
anaconda,disgust
anathema,disgust
angry,disgust
animosity,disgust
annoy,disgust
annoyance,disgust
antagonistic,disgust
anthrax,disgust
antichrist,disgust
antipathy,disgust
antisocial,disgust
aphid,disgust
appalling,disgust
arrogant,disgust
arsenic,disgust
ashamed,disgust
asshole,disgust
asymmetry,disgust
atrocious,disgust
atrocity,disgust
atrophy,disgust
attacking,disgust
autopsy,disgust
avarice,disgust
averse,disgust
aversion,disgust
awful,disgust
awkwardness,disgust
baboon,disgust
backwards,disgust
bacteria,disgust
bacterium,disgust
bad,disgust
badness,disgust
bane,disgust
bang,disgust
banish,disgust
banishment,disgust
bankruptcy,disgust
banshee,disgust
barbaric,disgust
barf,disgust
barrow,disgust
bastard,disgust
beastly,disgust
belittle,disgust
bestial,disgust
betray,disgust
betrayal,disgust
bickering,disgust
bigot,disgust
bigoted,disgust
bile,disgust
birch,disgust
bitch,disgust
bitterly,disgust
bitterness,disgust
blame,disgust
blasphemous,disgust
blatant,disgust
bleeding,disgust
blemish,disgust
blight,disgust
blighted,disgust
blister,disgust
bloated,disgust
blob,disgust
bloodshed,disgust
bloodthirsty,disgust
bloody,disgust
blunder,disgust
bogus,disgust
boil,disgust
bombed,disgust
bovine,disgust
bowels,disgust
boy,disgust
bran,disgust
brawl,disgust
bribery,disgust
brothel,disgust
bug,disgust
bum,disgust
bummer,disgust
bureaucrat,disgust
burglar,disgust
burke,disgust
burnt,disgust
butcher,disgust
cacophony,disgust
cad,disgust
cadaver,disgust
callous,disgust
cancer,disgust
