word,sentiment
abandon,fear
abandoned,fear
abandonment,fear
abduction,fear
abhor,fear
abhorrent,fear
abominable,fear
abomination,fear
abortion,fear
absence,fear
abuse,fear
abyss,fear
accident,fear
accidental,fear
accursed,fear
accused,fear
accuser,fear
accusing,fear
acrobat,fear
adder,fear
adjudicate,fear
admonition,fear
adrift,fear
advance,fear
adverse,fear
adversity,fear
afflict,fear
affliction,fear
affront,fear
afraid,fear
aftermath,fear
aga,fear
aggression,fear
aggressive,fear
aggressor,fear
aghast,fear
agonizing,fear
agony,fear
ailing,fear
alarm,fear
alarming,fear
alcoholism,fear
alertness,fear
alerts,fear
alien,fear
alienation,fear
ambulance,fear
ambush,fear
anaconda,fear
anarchism,fear
anarchist,fear
anarchy,fear
anathema,fear
angina,fear
anguish,fear
animosity,fear
annihilate,fear
annihilated,fear
annihilation,fear
anomaly,fear
anthrax,fear
antichrist,fear
antisocial,fear
anxiety,fear
anxious,fear
apache,fear
appalling,fear
apparition,fear
appendicitis,fear
apprehend,fear
apprehension,fear
apprehensive,fear
armament,fear
armaments,fear
armed,fear
armor,fear
armored,fear
arraignment,fear
arsenic,fear
arson,fear
artillery,fear
asp,fear
assail,fear
assailant,fear
assassin,fear
assassinate,fear
assassination,fear
assault,fear
astray,fear
asylum,fear
atherosclerosis,fear
atrocity,fear
atrophy,fear
attack,fear
attacking,fear
attorney,fear
auditor,fear
austere,fear
autopsy,fear
avalanche,fear
averse,fear
aversion,fear
avoid,fear
avoidance,fear
avoiding,fear
awful,fear
bacteria,fear
bacterium,fear
bad,fear
badness,fear
bailiff,fear
bait,fear
bale,fear
bane,fear
bang,fear
banger,fear
banish,fear
banished,fear
bankrupt,fear
bankruptcy,fear
banshee,fear
barbarian,fear
barbaric,fear
barricade,fear
batter,fear
battered,fear
battled,fear
battlefield,fear
bayonet,fear
bear,fear
bearish,fear
beast,fear
beastly,fear
beating,fear
bee,fear
behemoth,fear
belittle,fear
belligerent,fear
belt,fear
bestial,fear
beware,fear
bewildered,fear
bewilderment,fear
bier,fear
bigot,fear
bigoted,fear
biopsy,fear
birch,fear
birth,fear
bitch,fear
blackmail,fear
blackness,fear
blast,fear
bleeding,fear
blemish,fear
blight,fear
blindfold,fear
blob,fear
blockade,fear
bloodshed,fear
bloodthirsty,fear
bloody,fear
blues,fear
bomb,fear
bombard,fear
bombardment,fear
bomber,fear
bondage,fear
bottomless,fear
brawl,fear
brigade,fear
brimstone,fear
broke,fear
broken,fear
brutal,fear
brutality,fear
brute,fear
buck,fear
bug,fear
bugaboo,fear
bully,fear
bunker,fear
burdensome,fear
burglar,fear
burial,fear
buried,fear
burke,fear
busted,fear
butcher,fear
buzz,fear
cabal,fear
cadaver,fear
campaigning,fear
cancer,fear
cane,fear
cannibal,fear
cannon,fear
captive,fear
captor,fear
carcass,fear
carcinoma,fear
