word,sentiment
abandon,negative
abandoned,negative
abandonment,negative
abduction,negative
aberrant,negative
aberration,negative
abhor,negative
abhorrent,negative
abject,negative
abnormal,negative
abolish,negative
abolition,negative
abominable,negative
abomination,negative
abort,negative
abortion,negative
abortive,negative
abrasion,negative
abrogate,negative
abscess,negative
absence,negative
absent,negative
absentee,negative
absenteeism,negative
absurd,negative
absurdity,negative
abundance,negative
abuse,negative
abysmal,negative
abyss,negative
accident,negative
accidental,negative
accursed,negative
accusation,negative
accusative,negative
accused,negative
accuser,negative
accusing,negative
ache,negative
aching,negative
acid,negative
actionable,negative
adder,negative
addiction,negative
adipose,negative
adjudicate,negative
admonition,negative
adrift,negative
adulterated,negative
adultery,negative
adversary,negative
adverse,negative
adversity,negative
afflict,negative
afflicted,negative
affliction,negative
affront,negative
afraid,negative
aftermath,negative
aftertaste,negative
aggravated,negative
aggravating,negative
aggravation,negative
aggression,negative
aggressive,negative
aggressor,negative
aghast,negative
agitated,negative
agitation,negative
agonizing,negative
agony,negative
aground,negative
ail,negative
ailing,negative
aimless,negative
airs,negative
alarm,negative
alarming,negative
alcoholism,negative
alien,negative
alienate,negative
alienated,negative
alienation,negative
alimony,negative
allegation,negative
allege,negative
aloof,negative
altercation,negative
ambiguous,negative
ambush,negative
amnesia,negative
amphetamines,negative
anaconda,negative
anal,negative
anarchism,negative
anarchist,negative
anarchy,negative
anathema,negative
ancient,negative
anger,negative
angina,negative
angling,negative
angry,negative
anguish,negative
animosity,negative
animus,negative
annihilate,negative
annihilated,negative
annihilation,negative
annoy,negative
annoyance,negative
annoying,negative
annul,negative
annulment,negative
anomaly,negative
anonymous,negative
antagonism,negative
antagonist,negative
antagonistic,negative
anthrax,negative
antichrist,negative
antipathy,negative
antiquated,negative
antisocial,negative
antithesis,negative
anxiety,negative
anxious,negative
apache,negative
apathetic,negative
apathy,negative
aphid,negative
appalling,negative
appendicitis,negative
apprehension,negative
apprehensive,negative
appropriation,negative
archaic,negative
arduous,negative
argue,negative
argument,negative
argumentative,negative
arid,negative
armaments,negative
armed,negative
arraignment,negative
arrears,negative
arrest,negative
arrogance,negative
arrogant,negative
arsenic,negative
arson,negative
artillery,negative
ash,negative
ashamed,negative
ashes,negative
ass,negative
assail,negative
assailant,negative
assassin,negative
assassinate,negative
assassination,negative
assault,negative
asshole,negative
astray,negative
astringent,negative
asylum,negative
atheism,negative
atherosclerosis,negative
atrocious,negative
atrocity,negative
atrophy,negative
attack,negative
attacking,negative
attenuated,negative
attenuation,negative
audacity,negative
austere,negative
austerity,negative
autocratic,negative
autopsy,negative
avalanche,negative
avarice,negative
avenger,negative
averse,negative
aversion,negative
avoid,negative
avoidance,negative
awful,negative
awkwardness,negative
awry,negative
babble,negative
babbling,negative
baboon,negative
backward,negative
backwards,negative
backwater,negative
bacteria,negative
bacterium,negative
bad,negative
badger,negative
badly,negative
badness,negative
bailiff,negative
bait,negative
bale,negative
balk,negative
balm,negative
ban,negative
bandit,negative
bane,negative
bang,negative
banger,negative
banish,negative
banished,negative
banishment,negative
bankrupt,negative
bankruptcy,negative
banshee,negative
barb,negative
barbarian,negative
barbaric,negative
barbarism,negative
bark,negative
barred,negative
barren,negative
barricade,negative
barrier,negative
baseless,negative
bastard,negative
batter,negative
battered,negative
battery,negative
battle,negative
battled,negative
battlefield,negative
bawdy,negative
bayonet,negative
bearer,negative
beast,negative
beastly,negative
beating,negative
befall,negative
beg,negative
beggar,negative
begging,negative
behemoth,negative
beholden,negative
belated,negative
belittle,negative
belligerent,negative
belt,negative
bender,negative
bereaved,negative
bereavement,negative
bereft,negative
