word,sentiment
abba,positive
ability,positive
abovementioned,positive
absolute,positive
absolution,positive
absorbed,positive
abundance,positive
abundant,positive
academic,positive
academy,positive
acceptable,positive
acceptance,positive
accessible,positive
accolade,positive
accommodation,positive
accompaniment,positive
accomplish,positive
accomplished,positive
accomplishment,positive
accord,positive
accountability,positive
accountable,positive
accredited,positive
accueil,positive
accurate,positive
ace,positive
achieve,positive
achievement,positive
acknowledgment,positive
acquire,positive
acquiring,positive
acrobat,positive
action,positive
actual,positive
acuity,positive
acumen,positive
adapt,positive
adaptable,positive
addresses,positive
adept,positive
adequacy,positive
adjunct,positive
admirable,positive
admiral,positive
admiration,positive
admire,positive
admirer,positive
admissible,positive
adorable,positive
adoration,positive
adore,positive
advance,positive
advanced,positive
advancement,positive
advantage,positive
advantageous,positive
advent,positive
adventure,positive
adventurous,positive
advisable,positive
advise,positive
adviser,positive
advocacy,positive
aesthetic,positive
aesthetics,positive
affable,positive
affection,positive
affiliated,positive
affirm,positive
affirmation,positive
affirmative,positive
affirmatively,positive
affluence,positive
affluent,positive
afford,positive
aga,positive
agile,positive
agility,positive
agree,positive
agreeable,positive
agreed,positive
agreeing,positive
agreement,positive
agriculture,positive
ahead,positive
aid,positive
aiding,positive
alabaster,positive
alertness,positive
alimentation,positive
alive,positive
allay,positive
allegiance,positive
allegro,positive
alleviate,positive
alleviation,positive
allied,positive
allowable,positive
allure,positive
alluring,positive
ally,positive
almighty,positive
aloha,positive
amazingly,positive
ambassador,positive
ambition,positive
ameliorate,positive
amen,positive
amenable,positive
amend,positive
amends,positive
amenity,positive
amiable,positive
amicable,positive
amnesty,positive
amour,positive
amuse,positive
amused,positive
amusement,positive
amusing,positive
analyst,positive
anchor,positive
anchorage,positive
angel,positive
angelic,positive
animate,positive
animated,positive
antibiotics,positive
antidote,positive
antifungal,positive
antique,positive
antiseptic,positive
aplomb,positive
apologetic,positive
apologize,positive
apology,positive
apostle,positive
applause,positive
appreciation,positive
approbation,positive
approval,positive
approve,positive
approving,positive
apt,positive
aptitude,positive
archaeology,positive
ardent,positive
ardor,positive
aristocracy,positive
aristocratic,positive
armed,positive
armor,positive
aroma,positive
arouse,positive
array,positive
art,positive
articulate,positive
articulation,positive
artisan,positive
artiste,positive
artistic,positive
ascendancy,positive
ascent,positive
aspiration,positive
aspire,positive
aspiring,positive
assembly,positive
assent,positive
asserting,positive
assets,positive
assist,positive
assistance,positive
associate,positive
assuage,positive
assurance,positive
assured,positive
astonishingly,positive
astonishment,positive
astrologer,positive
astronaut,positive
astronomer,positive
astute,positive
athlete,positive
athletic,positive
atom,positive
atone,positive
atonement,positive
attachment,positive
attainable,positive
attainment,positive
attendant,positive
attention,positive
attentive,positive
attest,positive
attorney,positive
attraction,positive
attractiveness,positive
augment,positive
august,positive
aunt,positive
aura,positive
auspicious,positive
authentic,positive
authenticity,positive
author,positive
authoritative,positive
authority,positive
authorization,positive
authorized,positive
avatar,positive
award,positive
ay,positive
aye,positive
baby,positive
baccalaureate,positive
backbone,positive
balance,positive
balanced,positive
ballad,positive
ballet,positive
ballot,positive
balm,positive
balsam,positive
banquet,positive
baptism,positive
baptismal,positive
bard,positive
bargain,positive
basketball,positive
bastion,positive
bath,positive
beam,positive
beaming,positive
beautification,positive
beautiful,positive
beautify,positive
beauty,positive
bedrock,positive
beer,positive
befitting,positive
befriend,positive
believing,positive
benefactor,positive
beneficial,positive
benefit,positive
benevolence,positive
benign,positive
berth,positive
betrothed,positive
betterment,positive
beverage,positive
biblical,positive
bilingual,positive
birth,positive
birthday,positive
blameless,positive
bless,positive
blessed,positive
blessing,positive
blessings,positive
bliss,positive
blissful,positive
bloodless,positive
bloom,positive
blossom,positive
boast,positive
