word,sentiment
abandon,sadness
abandoned,sadness
abandonment,sadness
abduction,sadness
abortion,sadness
abortive,sadness
abscess,sadness
absence,sadness
absent,sadness
absentee,sadness
abuse,sadness
abysmal,sadness
abyss,sadness
accident,sadness
accursed,sadness
ache,sadness
aching,sadness
adder,sadness
adrift,sadness
adultery,sadness
adverse,sadness
adversity,sadness
afflict,sadness
affliction,sadness
affront,sadness
aftermath,sadness
aggravating,sadness
agony,sadness
ail,sadness
ailing,sadness
alcoholism,sadness
alienated,sadness
alienation,sadness
anathema,sadness
anchorage,sadness
anguish,sadness
animosity,sadness
annihilated,sadness
annihilation,sadness
annulment,sadness
anthrax,sadness
antisocial,sadness
anxiety,sadness
apathetic,sadness
apathy,sadness
apologize,sadness
appendicitis,sadness
arid,sadness
arraignment,sadness
arsenic,sadness
art,sadness
ashamed,sadness
ashes,sadness
assailant,sadness
assassin,sadness
assassination,sadness
atherosclerosis,sadness
atrocity,sadness
atrophy,sadness
attacking,sadness
attenuation,sadness
austere,sadness
autopsy,sadness
avalanche,sadness
awful,sadness
backwater,sadness
bacteria,sadness
bad,sadness
badly,sadness
bang,sadness
banish,sadness
banished,sadness
banishment,sadness
bankrupt,sadness
bankruptcy,sadness
banshee,sadness
barren,sadness
bastard,sadness
battered,sadness
battled,sadness
beating,sadness
beg,sadness
beggar,sadness
belittle,sadness
bereaved,sadness
bereavement,sadness
betray,sadness
betrayal,sadness
bier,sadness
bigoted,sadness
bitch,sadness
bitterly,sadness
bitterness,sadness
black,sadness
blackness,sadness
bleak,sadness
bleeding,sadness
blemish,sadness
blight,sadness
blighted,sadness
blindly,sadness
blindness,sadness
blockade,sadness
bloodshed,sadness
bloody,sadness
blue,sadness
blues,sadness
blunder,sadness
bomb,sadness
bomber,sadness
bondage,sadness
boredom,sadness
bothering,sadness
bottom,sadness
breakup,sadness
broke,sadness
broken,sadness
brute,sadness
bugaboo,sadness
bum,sadness
burdensome,sadness
burial,sadness
buried,sadness
burke,sadness
bury,sadness
cadaver,sadness
cage,sadness
calamity,sadness
cancel,sadness
cancer,sadness
captive,sadness
captivity,sadness
carcass,sadness
carcinoma,sadness
cardiomyopathy,sadness
carnage,sadness
case,sadness
casket,sadness
casualty,sadness
cataract,sadness
catastrophe,sadness
cemetery,sadness
chagrin,sadness
chaos,sadness
chargeable,sadness
choke,sadness
cholera,sadness
chronic,sadness
closure,sadness
clouded,sadness
cloudy,sadness
cocaine,sadness
coercion,sadness
coffin,sadness
coldness,sadness
collapse,sadness
collusion,sadness
coma,sadness
comatose,sadness
commemorate,sadness
committal,sadness
communism,sadness
complain,sadness
conceal,sadness
concerned,sadness
concussion,sadness
condemnation,sadness
condescension,sadness
condolence,sadness
confession,sadness
confine,sadness
confined,sadness
confinement,sadness
confiscate,sadness
conflict,sadness
consecration,sadness
console,sadness
constraint,sadness
contaminated,sadness
convict,sadness
corpse,sadness
corrupting,sadness
corse,sadness
couch,sadness
coward,sadness
crash,sadness
crazy,sadness
cremation,sadness
cringe,sadness
cripple,sadness
crippled,sadness
criticism,sadness
criticize,sadness
cross,sadness
crucifixion,sadness
cruel,sadness
cruelty,sadness
crumbling,sadness
crushed,sadness
cry,sadness
crying,sadness
crypt,sadness
cumbersome,sadness
cupping,sadness
curse,sadness
cursed,sadness
cutting,sadness
cyst,sadness
cytomegalovirus,sadness
daemon,sadness
damage,sadness
damages,sadness
damnation,sadness
danger,sadness
dark,sadness
darken,sadness
darkened,sadness
darkness,sadness
dashed,sadness
deadly,sadness
death,sadness
debacle,sadness
debt,sadness
decay,sadness
decayed,sadness
deceased,sadness
deceit,sadness
deceitful,sadness
deceive,sadness
decomposed,sadness
decomposition,sadness
default,sadness
defeated,sadness
defendant,sadness
defenseless,sadness
deflate,sadness
deformed,sadness
deformity,sadness
defunct,sadness
defy,sadness
degeneracy,sadness
degrading,sadness
delay,sadness
delirious,sadness
delirium,sadness
deluge,sadness
delusion,sadness
dementia,sadness
demise,sadness
demolish,sadness
demon,sadness
demonic,sadness
demonstrative,sadness
demoralized,sadness
denied,sadness
depart,sadness
departed,sadness
departure,sadness
dependence,sadness
deplorable,sadness
deplore,sadness
deport,sadness
deportation,sadness
depraved,sadness
depreciated,sadness
depress,sadness
depressed,sadness
depressing,sadness
depression,sadness
depressive,sadness
deprivation,sadness
derogation,sadness
derogatory,sadness
descent,sadness
desecration,sadness
desert,sadness
deserted,sadness
desolation,sadness
despair,sadness
despairing,sadness
despotism,sadness
destination,sadness
destitute,sadness
destroyed,sadness
destroying,sadness
detainee,sadness
detention,sadness
deteriorate,sadness
deteriorated,sadness
deterioration,sadness
devastate,sadness
devastating,sadness
devastation,sadness
deviation,sadness
devil,sadness
dictatorship,sadness
die,sadness
difficulties,sadness
difficulty,sadness
dilapidated,sadness
diminish,sadness
dire,sadness
disability,sadness
disable,sadness
disabled,sadness
disagreeing,sadness
disagreement,sadness
disallowed,sadness
disappoint,sadness
disappointed,sadness
disappointing,sadness
disappointment,sadness
disapproval,sadness
disapprove,sadness
disapproved,sadness
disapproving,sadness
disaster,sadness
disastrous,sadness
discolored,sadness
discomfort,sadness
disconnect,sadness
disconnected,sadness
discontent,sadness
discontinuity,sadness
discourage,sadness
discriminate,sadness
discrimination,sadness
disease,sadness
diseased,sadness
disembodied,sadness
disfigured,sadness
disgrace,sadness
disgraced,sadness
disgruntled,sadness
disgust,sadness
disheartened,sadness
disheartening,sadness
dishonest,sadness
dishonor,sadness
disillusionment,sadness
disliked,sadness
dislocated,sadness
dismal,sadness
dismay,sadness
dismemberment,sadness
dismissal,sadness
disparage,sadness
disparaging,sadness
disparity,sadness
dispassionate,sadness
dispel,sadness
displaced,sadness
displeased,sadness
dispossessed,sadness
disqualified,sadness
disqualify,sadness
disrespectful,sadness
disservice,sadness
dissolution,sadness
distraught,sadness
distress,sadness
disturbance,sadness
disturbed,sadness
divorce,sadness
doldrums,sadness
dole,sadness
dolor,sadness
domination,sadness
doomed,sadness
doomsday,sadness
doubt,sadness
downfall,sadness
drab,sadness
dreadful,sadness
dreadfully,sadness
dreary,sadness
drown,sadness
drugged,sadness
dull,sadness
dumps,sadness
duress,sadness
dwarfed,sadness
dying,sadness
dysentery,sadness
earthquake,sadness
elimination,sadness
emaciated,sadness
embarrass,sadness
embarrassment,sadness
embolism,sadness
emergency,sadness
emptiness,sadness
encumbrance,sadness
endemic,sadness
endless,sadness
endocarditis,sadness
enmity,sadness
enslaved,sadness
entangled,sadness
epidemic,sadness
epitaph,sadness
error,sadness
eschew,sadness
esteem,sadness
euthanasia,sadness
evanescence,sadness
evasion,sadness
evict,sadness
eviction,sadness
evil,sadness
excluded,sadness
excluding,sadness
exclusion,sadness
execution,sadness
executioner,sadness
exhausted,sadness
exhaustion,sadness
exile,sadness
exorcism,sadness
expel,sadness
expire,sadness
explode,sadness
expulsion,sadness
exterminate,sadness
extinct,sadness
failing,sadness
failure,sadness
fainting,sadness
faithless,sadness
fall,sadness
falling,sadness
famine,sadness
fasting,sadness
fat,sadness
fatal,sadness
fatality,sadness
fatigued,sadness
fatty,sadness
fault,sadness
fearful,sadness
fearfully,sadness
feeble,sadness
feeling,sadness
fell,sadness
feudalism,sadness
flaccid,sadness
flaw,sadness
fleece,sadness
flinch,sadness
flog,sadness
flop,sadness
flounder,sadness
forbid,sadness
foreclose,sadness
forfeit,sadness
forfeiture,sadness
forgotten,sadness
forlorn,sadness
forsake,sadness
forsaken,sadness
fortress,sadness
fragile,sadness
frailty,sadness
fraught,sadness
frayed,sadness
frighten,sadness
frightful,sadness
frown,sadness
frowning,sadness
fruitless,sadness
frustrate,sadness
fugitive,sadness
funeral,sadness
funk,sadness
furrow,sadness
fury,sadness
fuss,sadness
futile,sadness
gallows,sadness
geriatric,sadness
ghetto,sadness
gloom,sadness
gloomy,sadness
glum,sadness
gonorrhea,sadness
gore,sadness
gory,sadness
grave,sadness
gray,sadness
grief,sadness
grievance,sadness
grieve,sadness
grievous,sadness
grim,sadness
groan,sadness
grounded,sadness
grumpy,sadness
guillotine,sadness
guilt,sadness
guilty,sadness
gullible,sadness
haggard,sadness
halter,sadness
halting,sadness
hamstring,sadness
handicap,sadness
hanging,sadness
hardship,sadness
harmful,sadness
harry,sadness
hate,sadness
hateful,sadness
hatred,sadness
haunted,sadness
hearse,sadness
heartache,sadness
heartfelt,sadness
heartless,sadness
hell,sadness
hellish,sadness
helpless,sadness
helplessness,sadness
hemorrhage,sadness
hermit,sadness
hideous,sadness
hindering,sadness
hoary,sadness
hoax,sadness
hobo,sadness
hollow,sadness
holocaust,sadness
homeless,sadness
homesick,sadness
homicide,sadness
honest,sadness
hopeless,sadness
hopelessness,sadness
horrid,sadness
horrific,sadness
horrifying,sadness
horror,sadness
horrors,sadness
hospice,sadness
hospital,sadness
howl,sadness
humble,sadness
humbled,sadness
humbug,sadness
humiliate,sadness
humiliation,sadness
hunter,sadness
hurt,sadness
hurtful,sadness
hurting,sadness
hut,sadness
hydrocephalus,sadness
hymn,sadness
idiocy,sadness
ill,sadness
illegal,sadness
illegitimate,sadness
illness,sadness
immoral,sadness
impossible,sadness
impotence,sadness
imprisoned,sadness
imprisonment,sadness
imprudent,sadness
inability,sadness
inadequate,sadness
inappropriate,sadness
incarceration,sadness
incase,sadness
incest,sadness
income,sadness
incompatible,sadness
incompetent,sadness
inconsequential,sadness
inconsiderate,sadness
inconvenient,sadness
incrimination,sadness
incurable,sadness
indifference,sadness
indigent,sadness
inefficiency,sadness
inefficient,sadness
ineptitude,sadness
inequality,sadness
inexcusable,sadness
infamy,sadness
infanticide,sadness
infectious,sadness
inferior,sadness
infertility,sadness
infidelity,sadness
inflict,sadness
infliction,sadness
inhibit,sadness
inhospitable,sadness
inhuman,sadness
inhumanity,sadness
inimical,sadness
injure,sadness
injured,sadness
injurious,sadness
injury,sadness
insanity,sadness
insecure,sadness
insignificant,sadness
insolvency,sadness
insolvent,sadness
insult,sadness
insulting,sadness
insurmountable,sadness
inter,sadness
intercede,sadness
interested,sadness
interment,sadness
interrupted,sadness
intervention,sadness
intolerant,sadness
invade,sadness
invader,sadness
invalid,sadness
irreconcilable,sadness
irreparable,sadness
irritation,sadness
isolate,sadness
isolated,sadness
isolation,sadness
jail,sadness
jarring,sadness
jealousy,sadness
jurisprudence,sadness
kennel,sadness
kidnap,sadness
kill,sadness
killing,sadness
knell,sadness
labored,sadness
lace,sadness
lagging,sadness
lament,sadness
lamenting,sadness
landslide,sadness
languishing,sadness
late,sadness
lawsuit,sadness
lax,sadness
leave,sadness
leprosy,sadness
lesbian,sadness
lethal,sadness
lethargy,sadness
leukemia,sadness
lie,sadness
lifeless,sadness
limited,sadness
liquor,sadness
listless,sadness
litigate,sadness
lockup,sadness
lone,sadness
loneliness,sadness
lonely,sadness
lonesome,sadness
longing,sadness
lose,sadness
losing,sadness
loss,sadness
lost,sadness
lovely,sadness
lower,sadness
lowest,sadness
lowly,sadness
lunacy,sadness
lush,sadness
lynch,sadness
mad,sadness
malaise,sadness
malaria,sadness
malevolent,sadness
malicious,sadness
malignancy,sadness
mangle,sadness
manslaughter,sadness
margin,sadness
martyr,sadness
martyrdom,sadness
massacre,sadness
mausoleum,sadness
meaningless,sadness
measles,sadness
meek,sadness
melancholic,sadness
melancholy,sadness
melodrama,sadness
meltdown,sadness
memorials,sadness
militia,sadness
miscarriage,sadness
miserable,sadness
miserably,sadness
misery,sadness
misfortune,sadness
mishap,sadness
misrepresentation,sadness
missing,sadness
mistake,sadness
misunderstanding,sadness
moan,sadness
mocking,sadness
molestation,sadness
monsoon,sadness
moody,sadness
morbid,sadness
morbidity,sadness
morgue,sadness
moribund,sadness
mortality,sadness
mortification,sadness
mortuary,sadness
mother,sadness
mourn,sadness
mournful,sadness
mourning,sadness
mug,sadness
murder,sadness
murderer,sadness
murderous,sadness
murky,sadness
music,sadness
musical,sadness
mutilation,sadness
myopia,sadness
napkin,sadness
nasty,sadness
nauseous,sadness
necessity,sadness
nefarious,sadness
negative,sadness
neglected,sadness
negro,sadness
nepotism,sadness
nether,sadness
neuralgia,sadness
neurosis,sadness
noncompliance,sadness
nonsensical,sadness
noose,sadness
nothingness,sadness
numbness,sadness
nutritious,sadness
obesity,sadness
obit,sadness
obituary,sadness
obliterate,sadness
obliteration,sadness
obnoxious,sadness
obstacle,sadness
oddity,sadness
offended,sadness
offender,sadness
offense,sadness
older,sadness
onerous,sadness
opera,sadness
opium,sadness
oppress,sadness
oppression,sadness
oppressive,sadness
oppressor,sadness
orchestra,sadness
orphan,sadness
oust,sadness
outburst,sadness
outcast,sadness
ovation,sadness
overdue,sadness
overload,sadness
overpriced,sadness
overwhelmed,sadness
owing,sadness
pain,sadness
pained,sadness
painful,sadness
painfully,sadness
palsy,sadness
pandemic,sadness
paralysis,sadness
paralyzed,sadness
pare,sadness
parting,sadness
pathetic,sadness
paucity,sadness
pauper,sadness
penal,sadness
penalty,sadness
penance,sadness
pensive,sadness
perdition,sadness
peril,sadness
perilous,sadness
perish,sadness
perished,sadness
perishing,sadness
pernicious,sadness
perpetrator,sadness
perplexity,sadness
persecution,sadness
perversion,sadness
pessimism,sadness
pessimist,sadness
pine,sadness
pious,sadness
pitfall,sadness
pity,sadness
plague,sadness
plaintive,sadness
plea,sadness
plight,sadness
plunder,sadness
poaching,sadness
pointless,sadness
poison,sadness
poisoned,sadness
poisonous,sadness
polio,sadness
posthumous,sadness
poverty,sadness
powerless,sadness
precarious,sadness
priesthood,sadness
prison,sadness
prisoner,sadness
probation,sadness
problem,sadness
procession,sadness
progression,sadness
prosecute,sadness
prostitution,sadness
psychosis,sadness
punch,sadness
punished,sadness
punishing,sadness
punitive,sadness
quiet,sadness
rabid,sadness
rack,sadness
rainy,sadness
rape,sadness
rating,sadness
ravenous,sadness
recession,sadness
recidivism,sadness
refugee,sadness
refused,sadness
regret,sadness
regrettable,sadness
regretted,sadness
regretting,sadness
reject,sadness
rejection,sadness
rejects,sadness
relapse,sadness
relics,sadness
remiss,sadness
remorse,sadness
remove,sadness
repress,sadness
reprisal,sadness
reproach,sadness
requiem,sadness
resentment,sadness
resign,sadness
resignation,sadness
resigned,sadness
resisting,sadness
restrict,sadness
restriction,sadness
retard,sadness
retirement,sadness
retribution,sadness
revoke,sadness
revolution,sadness
revolver,sadness
rheumatism,sadness
ridicule,sadness
rob,sadness
robbery,sadness
romance,sadness
rot,sadness
rubble,sadness
rue,sadness
ruin,sadness
ruined,sadness
ruinous,sadness
rumor,sadness
runaway,sadness
rupture,sadness
sabotage,sadness
sacrifices,sadness
sadly,sadness
sadness,sadness
sanctify,sadness
sap,sadness
sarcasm,sadness
sarcoma,sadness
savor,sadness
scar,sadness
scarce,sadness
scarcely,sadness
scarcity,sadness
schizophrenia,sadness
scold,sadness
scourge,sadness
scrapie,sadness
secluded,sadness
sedition,sadness
segregate,sadness
senile,sadness
senseless,sadness
sentence,sadness
sepsis,sadness
sequestration,sadness
seriousness,sadness
servile,sadness
setback,sadness
severance,sadness
shack,sadness
shackle,sadness
shame,sadness
shameful,sadness
shatter,sadness
shattered,sadness
shell,sadness
shipwreck,sadness
shiver,sadness
shortage,sadness
shot,sadness
shriek,sadness
shrink,sadness
shroud,sadness
shun,sadness
sick,sadness
sickening,sadness
sickly,sadness
sickness,sadness
sin,sadness
sinful,sadness
sing,sadness
sinner,sadness
sisterhood,sadness
skid,sadness
slaughter,sadness
slaughterhouse,sadness
slaughtering,sadness
slave,sadness
slavery,sadness
slayer,sadness
sluggish,sadness
slump,sadness
slur,sadness
smite,sadness
snort,sadness
sob,sadness
socialist,sadness
soldier,sadness
somber,sadness
sonnet,sadness
sordid,sadness
sore,sadness
sorely,sadness
soreness,sadness
sorrow,sadness
sorrowful,sadness
soulless,sadness
spank,sadness
specter,sadness
speculation,sadness
spinster,sadness
splitting,sadness
spoiler,sadness
sprain,sadness
squall,sadness
stab,sadness
stagnant,sadness
starvation,sadness
steal,sadness
sterile,sadness
stifled,sadness
stigma,sadness
stillborn,sadness
stillness,sadness
stingy,sadness
stint,sadness
strangle,sadness
stretcher,sadness
stricken,sadness
strip,sadness
stripped,sadness
stroke,sadness
struggle,sadness
subjected,sadness
subjugation,sadness
subsidence,sadness
subvert,sadness
sue,sadness
sufferer,sadness
suffering,sadness
suffocating,sadness
suicidal,sadness
suicide,sadness
sullen,sadness
sunk,sadness
suppress,sadness
surgery,sadness
surrender,sadness
surrendering,sadness
sweetheart,sadness
sympathetic,sadness
sympathize,sadness
sympathy,sadness
syncope,sadness
taint,sadness
tarnish,sadness
taunt,sadness
tax,sadness
tearful,sadness
tease,sadness
tempest,sadness
terminal,sadness
terminate,sadness
termination,sadness
terrible,sadness
terribly,sadness
terrific,sadness
terrorism,sadness
terrorist,sadness
terrorize,sadness
theft,sadness
theocratic,sadness
thief,sadness
thirst,sadness
thrash,sadness
thresh,sadness
throb,sadness
timid,sadness
tolerate,sadness
tomb,sadness
torment,sadness
torture,sadness
touchy,sadness
tough,sadness
tragedy,sadness
traitor,sadness
tramp,sadness
trash,sadness
traumatic,sadness
travesty,sadness
treachery,sadness
treat,sadness
tremor,sadness
tribulation,sadness
trickery,sadness
tripping,sadness
tumour,sadness
turmoil,sadness
tyranny,sadness
tyrant,sadness
ugliness,sadness
ulcer,sadness
ultimate,sadness
unable,sadness
unacceptable,sadness
unaccountable,sadness
unacknowledged,sadness
unattainable,sadness
unattractive,sadness
unbearable,sadness
unbeaten,sadness
uncaring,sadness
underpaid,sadness
undertaker,sadness
undesirable,sadness
undesired,sadness
undying,sadness
uneasiness,sadness
uneducated,sadness
unemployed,sadness
unequal,sadness
unexplained,sadness
unfair,sadness
unfairness,sadness
unfavorable,sadness
unforgiving,sadness
unfortunate,sadness
unfriendly,sadness
unfulfilled,sadness
ungodly,sadness
unhappiness,sadness
unhappy,sadness
unhealthy,sadness
unimportant,sadness
uninspired,sadness
uninterested,sadness
uninteresting,sadness
uninvited,sadness
unkind,sadness
unlawful,sadness
unlucky,sadness
unpaid,sadness
unpleasant,sadness
unpopular,sadness
unpublished,sadness
unrequited,sadness
unrest,sadness
unsatisfied,sadness
unseat,sadness
unsuccessful,sadness
untitled,sadness
unwelcome,sadness
unwell,sadness
upheaval,sadness
upset,sadness
urn,sadness
vainly,sadness
vanished,sadness
varicella,sadness
veal,sadness
vegetative,sadness
vendetta,sadness
victim,sadness
victimized,sadness
violation,sadness
violence,sadness
violently,sadness
vote,sadness
vulgarity,sadness
vulnerability,sadness
waffle,sadness
wail,sadness
wallow,sadness
wan,sadness
wane,sadness
wanting,sadness
warfare,sadness
warp,sadness
wasteful,sadness
wasting,sadness
weakly,sadness
wearily,sadness
weariness,sadness
weary,sadness
weeds,sadness
weep,sadness
weeping,sadness
weight,sadness
whimper,sadness
whine,sadness
widow,sadness
widower,sadness
wilderness,sadness
wildfire,sadness
willful,sadness
wimpy,sadness
wince,sadness
winning,sadness
witchcraft,sadness
withdraw,sadness
wither,sadness
woe,sadness
woeful,sadness
woefully,sadness
worn,sadness
worried,sadness
worry,sadness
worrying,sadness
worse,sadness
worsening,sadness
worthless,sadness
wound,sadness
wrangling,sadness
wreck,sadness
wrecked,sadness
wretch,sadness
wretched,sadness
wrinkled,sadness
wrongdoing,sadness
wrongful,sadness
wrongly,sadness
