word,sentiment
abandonment,surprise
abduction,surprise
abrupt,surprise
accident,surprise
accidental,surprise
accidentally,surprise
accolade,surprise
advance,surprise
affront,surprise
aghast,surprise
alarm,surprise
alarming,surprise
alertness,surprise
alerts,surprise
allure,surprise
amaze,surprise
amazingly,surprise
ambush,surprise
angel,surprise
anomaly,surprise
apparition,surprise
applause,surprise
art,surprise
aspiration,surprise
assail,surprise
assessment,surprise
astonishingly,surprise
astonishment,surprise
attacking,surprise
avalanche,surprise
award,surprise
bang,surprise
banger,surprise
betray,surprise
bewildered,surprise
bewilderment,surprise
birthday,surprise
bizarre,surprise
blast,surprise
blessings,surprise
blindfold,surprise
blitz,surprise
bloodshed,surprise
bomb,surprise
bonus,surprise
break,surprise
brighten,surprise
buck,surprise
burlesque,surprise
cable,surprise
cadaver,surprise
camouflage,surprise
camouflaged,surprise
candid,surprise
captivate,surprise
carnage,surprise
catastrophe,surprise
catch,surprise
celebration,surprise
celebrity,surprise
ceremony,surprise
chance,surprise
changeable,surprise
chant,surprise
cheer,surprise
cheerful,surprise
cherish,surprise
chicane,surprise
chimera,surprise
chuckle,surprise
clamor,surprise
climax,surprise
clown,surprise
coincidence,surprise
compensate,surprise
complement,surprise
compliment,surprise
concealed,surprise
confession,surprise
conjure,surprise
coup,surprise
crash,surprise
cream,surprise
crescendo,surprise
crowning,surprise
curiosity,surprise
cyclone,surprise
daemon,surprise
dawn,surprise
deal,surprise
death,surprise
deceit,surprise
decoy,surprise
defy,surprise
delighted,surprise
deluge,surprise
destination,surprise
detonate,surprise
devastation,surprise
differently,surprise
dire,surprise
disaster,surprise
dismay,surprise
dismissal,surprise
disruption,surprise
dissolution,surprise
distress,surprise
disturbance,surprise
divergent,surprise
diversion,surprise
divorce,surprise
dolphin,surprise
dreadfully,surprise
dynamic,surprise
eager,surprise
earthquake,surprise
ecstatic,surprise
ejaculation,surprise
electric,surprise
elusive,surprise
embarrassment,surprise
embrace,surprise
emergency,surprise
enchant,surprise
enliven,surprise
entertainment,surprise
enthusiasm,surprise
enthusiast,surprise
epidemic,surprise
erotic,surprise
erratic,surprise
erupt,surprise
eruption,surprise
evanescence,surprise
examination,surprise
excavation,surprise
excel,surprise
excitation,surprise
excite,surprise
excited,surprise
excitement,surprise
exciting,surprise
exclaim,surprise
exhilaration,surprise
exigent,surprise
expect,surprise
experiment,surprise
explode,surprise
explosion,surprise
explosive,surprise
fainting,surprise
fanfare,surprise
favorable,surprise
fearfully,surprise
feat,surprise
feeling,surprise
festival,surprise
fete,surprise
fiesta,surprise
finally,surprise
flinch,surprise
flirt,surprise
fluke,surprise
foresee,surprise
fortune,surprise
frantic,surprise
freakish,surprise
frenetic,surprise
fright,surprise
frighten,surprise
frightened,surprise
frisky,surprise
gambler,surprise
gambling,surprise
gape,surprise
garish,surprise
gasp,surprise
gawk,surprise
generosity,surprise
gift,surprise
glimmer,surprise
glorify,surprise
godsend,surprise
good,surprise
goodness,surprise
graduation,surprise
gratify,surprise
greatness,surprise
greeting,surprise
grin,surprise
guess,surprise
gulp,surprise
hap,surprise
hermaphrodite,surprise
hero,surprise
heroic,surprise
heroism,surprise
highest,surprise
hilarious,surprise
hoax,surprise
holiness,surprise
honeymoon,surprise
hope,surprise
hopeful,surprise
horde,surprise
horror,surprise
howl,surprise
humanitarian,surprise
hypertrophy,surprise
hypothesis,surprise
illegitimate,surprise
illuminate,surprise
illumination,surprise
illusion,surprise
immediacy,surprise
immerse,surprise
improvisation,surprise
improvise,surprise
incendiary,surprise
incident,surprise
incontinence,surprise
independence,surprise
inexplicable,surprise
infant,surprise
infarct,surprise
infrequent,surprise
inheritance,surprise
insolvency,surprise
inspired,surprise
insult,surprise
intense,surprise
interrupt,surprise
intrigue,surprise
intruder,surprise
intrusive,surprise
invade,surprise
invite,surprise
inviting,surprise
jackpot,surprise
jerk,surprise
jest,surprise
joker,surprise
jolt,surprise
jubilant,surprise
jubilee,surprise
judgment,surprise
kidnap,surprise
kiss,surprise
labor,surprise
larger,surprise
latent,surprise
laugh,surprise
laughter,surprise
lawsuit,surprise
leave,surprise
leery,surprise
leisure,surprise
liberate,surprise
liberation,surprise
liberty,surprise
lightning,surprise
lose,surprise
lovely,surprise
loyal,surprise
luck,surprise
lucky,surprise
lunge,surprise
magical,surprise
magician,surprise
magnificent,surprise
majestic,surprise
manslaughter,surprise
marry,surprise
marvel,surprise
medal,surprise
memorable,surprise
merriment,surprise
mimicry,surprise
miracle,surprise
miraculous,surprise
misbehavior,surprise
mishap,surprise
modify,surprise
money,surprise
monstrosity,surprise
morals,surprise
mouth,surprise
murder,surprise
murderous,surprise
musical,surprise
mutiny,surprise
mysterious,surprise
mystery,surprise
mystic,surprise
nab,surprise
nefarious,surprise
newcomer,surprise
nullify,surprise
obit,surprise
obliging,surprise
occasional,surprise
oddity,surprise
opera,surprise
optimism,surprise
ordeal,surprise
organization,surprise
originality,surprise
outburst,surprise
outcry,surprise
outrageous,surprise
overdue,surprise
overestimate,surprise
palpable,surprise
pang,surprise
parade,surprise
paralyzed,surprise
peaceful,surprise
perchance,surprise
perfection,surprise
peri,surprise
perjury,surprise
picnic,surprise
pitfall,surprise
placard,surprise
playful,surprise
playground,surprise
pleasant,surprise
plunder,surprise
polarity,surprise
pop,surprise
postponement,surprise
practiced,surprise
praiseworthy,surprise
prank,surprise
pray,surprise
precious,surprise
premature,surprise
present,surprise
preservative,surprise
presto,surprise
prick,surprise
princely,surprise
procession,surprise
proficiency,surprise
prowl,surprise
puma,surprise
punch,surprise
purity,surprise
quickness,surprise
quicksilver,surprise
quote,surprise
raffle,surprise
raid,surprise
randomly,surprise
rapid,surprise
rapt,surprise
rarity,surprise
rave,surprise
raving,surprise
reappear,surprise
receiving,surprise
recklessness,surprise
reflex,surprise
rejoice,surprise
rejoicing,surprise
rekindle,surprise
remarkable,surprise
rescue,surprise
resignation,surprise
revenge,surprise
reversal,surprise
revolt,surprise
revolution,surprise
reward,surprise
rhythmical,surprise
riddle,surprise
riotous,surprise
romance,surprise
rupture,surprise
sabotage,surprise
saint,surprise
saintly,surprise
sally,surprise
sanctify,surprise
scare,surprise
score,surprise
scorpion,surprise
scream,surprise
screech,surprise
scrimmage,surprise
secrecy,surprise
senseless,surprise
sensual,surprise
shatter,surprise
shell,surprise
shock,surprise
shockingly,surprise
shopping,surprise
shot,surprise
shout,surprise
shriek,surprise
shrill,surprise
simplify,surprise
singularly,surprise
sisterhood,surprise
slam,surprise
slap,surprise
slaughter,surprise
slaughtering,surprise
slayer,surprise
slip,surprise
slush,surprise
smile,surprise
snag,surprise
sneak,surprise
sneeze,surprise
somatic,surprise
sorcery,surprise
spa,surprise
sparkle,surprise
spectacular,surprise
spirits,surprise
splash,surprise
splendid,surprise
splendor,surprise
stab,surprise
stagger,surprise
startle,surprise
startling,surprise
steady,surprise
stealth,surprise
stealthily,surprise
stealthy,surprise
strangle,surprise
stunned,surprise
subito,surprise
subversive,surprise
succeed,surprise
sudden,surprise
suddenly,surprise
sun,surprise
sunny,surprise
supremacy,surprise
surge,surprise
surprise,surprise
surprised,surprise
surprising,surprise
surprisingly,surprise
suspense,surprise
sweet,surprise
swerve,surprise
synchronize,surprise
syncope,surprise
tackle,surprise
tantalizing,surprise
teach,surprise
tempest,surprise
terrorist,surprise
thief,surprise
thirst,surprise
thrill,surprise
thrilling,surprise
thwart,surprise
tickle,surprise
topple,surprise
transcendence,surprise
treachery,surprise
treason,surprise
treat,surprise
tree,surprise
trepidation,surprise
trick,surprise
trickery,surprise
trip,surprise
trophy,surprise
trump,surprise
tumult,surprise
unanticipated,surprise
unbeaten,surprise
unbridled,surprise
uncanny,surprise
uncertain,surprise
uncontrollable,surprise
uncover,surprise
underestimate,surprise
undiscovered,surprise
unexpected,surprise
unexpectedly,surprise
unforeseen,surprise
unfulfilled,surprise
unguarded,surprise
unimaginable,surprise
unintended,surprise
unintentional,surprise
unintentionally,surprise
unique,surprise
unprecedented,surprise
unpredictable,surprise
unstable,surprise
unsuspecting,surprise
urgency,surprise
urgent,surprise
vanish,surprise
vanished,surprise
variable,surprise
veer,surprise
veracity,surprise
victimized,surprise
violation,surprise
violent,surprise
visor,surprise
volatility,surprise
volcano,surprise
vote,surprise
warn,surprise
warned,surprise
weight,surprise
whim,surprise
wild,surprise
wildfire,surprise
winner,surprise
winning,surprise
wireless,surprise
wizard,surprise
wonderful,surprise
wonderfully,surprise
worm,surprise
wreck,surprise
yell,surprise
yelp,surprise
young,surprise
youth,surprise
zany,surprise
zeal,surprise
